region,pop_0_19,pop_20_39,pop_40_59,pop_60_74,pop_75_plus,pop_total,year,region_normalized
Rhône-Alpes,1541494,1617315,1613998,747647,443282,5963736,2005,RHONEALPES
Île-de-France,2992114,3495447,3100720,1179194,674668,11442143,2005,ILEDEFRANCE
Alsace,453529,501165,513192,220698,126909,1815493,2006,ALSACE
Aquitaine,709751,769071,885389,443599,311968,3119778,2006,AQUITAINE
Auvergne,293496,322202,383439,197790,139011,1335938,2006,AUVERGNE
Basse-Normandie,362262,353576,405996,199278,135681,1456793,2006,BASSENORMANDIE
Bourgogne,377927,385914,463028,235070,166898,1628837,2006,BOURGOGNE
Bretagne,757353,776329,850439,425558,284855,3094534,2006,BRETAGNE
Centre,613729,621338,703346,343532,237622,2519567,2006,CENTRE
Champagne-Ardenne,334900,345855,376887,169441,111767,1338850,2006,CHAMPAGNEARDENNE
Corse,63276,71661,84706,46314,28161,294118,2006,CORSE
Franche-Comté,289236,297845,318611,150443,94489,1150624,2006,FRANCHECOMTE
Haute-Normandie,476065,472501,505184,219139,138166,1811055,2006,HAUTENORMANDIE
Languedoc-Roussillon,600630,617976,694591,374896,246051,2534144,2006,LANGUEDOCROUSSILLON
Limousin,148593,168722,208687,114411,90507,730920,2006,LIMOUSIN
Lorraine,573475,614496,664908,299472,183398,2335749,2006,LORRAINE
Midi-Pyrénées,634332,705235,775234,386698,275323,2776822,2006,MIDIPYRENEES
Nord - Pas-de-Calais,1110812,1095822,1083292,446571,282147,4018644,2006,NORDPASDECALAIS
Pays de la Loire,887105,889919,940306,438626,294457,3450413,2006,PAYSDELALOIRE
Picardie,505560,496551,533554,220458,138232,1894355,2006,PICARDIE
Poitou-Charentes,391829,408559,486343,255865,181527,1724123,2006,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1143027,1183453,1319382,707439,461931,4815232,2006,PROVENCEALPESCOTEDAZUR
Rhône-Alpes,1545057,1619480,1636692,754990,465127,6021346,2006,RHONEALPES
Île-de-France,3008457,3508802,3133960,1189412,691767,11532398,2006,ILEDEFRANCE
Alsace,453135,496881,520501,224387,132344,1827248,2007,ALSACE
Aquitaine,714846,769994,891764,455224,319062,3150890,2007,AQUITAINE
Auvergne,292602,319264,383312,201934,142135,1339247,2007,AUVERGNE
Basse-Normandie,360006,351004,407054,203558,139807,1461429,2007,BASSENORMANDIE
Bourgogne,377107,383123,462949,240525,170187,1633891,2007,BOURGOGNE
Bretagne,762853,771058,856770,436130,293477,3120288,2007,BRETAGNE
Centre,611847,618194,703135,351462,242281,2526919,2007,CENTRE
Champagne-Ardenne,333048,342666,376054,173476,114243,1339487,2007,CHAMPAGNEARDENNE
Corse,63309,73146,85869,47670,29215,299209,2007,CORSE
Franche-Comté,289886,296446,319930,154721,97688,1158671,2007,FRANCHECOMTE
Haute-Normandie,474721,469579,504445,225334,142637,1816716,2007,HAUTENORMANDIE
Languedoc-Roussillon,602926,619677,700276,384560,253431,2560870,2007,LANGUEDOCROUSSILLON
Limousin,150192,168079,209677,116521,92532,737001,2007,LIMOUSIN
Lorraine,568593,611298,666069,304235,189686,2339881,2007,LORRAINE
Midi-Pyrénées,642859,704854,784893,395417,282224,2810247,2007,MIDIPYRENEES
Nord - Pas-de-Calais,1100332,1094399,1080086,456086,290773,4021676,2007,NORDPASDECALAIS
Pays de la Loire,893614,889396,947154,450088,302342,3482594,2007,PAYSDELALOIRE
Picardie,503541,493983,533696,227199,141935,1900354,2007,PICARDIE
Poitou-Charentes,394105,408107,488978,262395,186195,1739780,2007,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1149206,1183525,1332266,725547,473471,4864015,2007,PROVENCEALPESCOTEDAZUR
Rhône-Alpes,1554389,1613469,1644738,773246,480117,6065959,2007,RHONEALPES
Île-de-France,3021977,3503295,3138930,1224134,710530,11598866,2007,ILEDEFRANCE
Alsace,451840,493377,525149,229541,137180,1837087,2008,ALSACE
Aquitaine,719728,768406,892952,469806,326733,3177625,2008,AQUITAINE
Auvergne,291936,317165,381698,206710,144354,1341863,2008,AUVERGNE
Basse-Normandie,360630,346985,406914,209053,143843,1467425,2008,BASSENORMANDIE
Bourgogne,376468,380122,460942,246971,174085,1638588,2008,BOURGOGNE
Bretagne,767672,770506,861522,449531,300470,3149701,2008,BRETAGNE
Centre,608808,612741,701550,360106,248383,2531588,2008,CENTRE
Champagne-Ardenne,331023,339063,373367,178113,116438,1338004,2008,CHAMPAGNEARDENNE
Corse,63031,73459,87338,49189,29949,302966,2008,CORSE
Franche-Comté,290393,294693,319093,159321,100431,1163931,2008,FRANCHECOMTE
Haute-Normandie,473606,468580,504451,232637,146393,1825667,2008,HAUTENORMANDIE
Languedoc-Roussillon,604415,619124,701788,396198,260193,2581718,2008,LANGUEDOCROUSSILLON
Limousin,151561,166903,208821,119054,94404,740743,2008,LIMOUSIN
Lorraine,566132,607769,667215,310293,194952,2346361,2008,LORRAINE
Midi-Pyrénées,649382,705631,787627,405455,290133,2838228,2008,MIDIPYRENEES
Nord - Pas-de-Calais,1094759,1092393,1076048,467201,294089,4024490,2008,NORDPASDECALAIS
Pays de la Loire,898680,886732,948464,464290,312004,3510170,2008,PAYSDELALOIRE
Picardie,502426,493940,532169,234112,143954,1906601,2008,PICARDIE
Poitou-Charentes,395259,406213,489073,270359,191804,1752708,2008,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1146652,1175723,1332169,743578,484791,4882913,2008,PROVENCEALPESCOTEDAZUR
Rhône-Alpes,1563820,1612445,1648989,797851,494124,6117229,2008,RHONEALPES
Île-de-France,3029354,3499434,3132036,1265663,732773,11659260,2008,ILEDEFRANCE
Alsace,449858,489021,527265,236452,140457,1843053,2009,ALSACE
Aquitaine,724341,767861,894072,486051,333812,3206137,2009,AQUITAINE
Auvergne,294078,311249,379965,212298,146374,1343964,2009,AUVERGNE
Basse-Normandie,358704,343402,405244,215662,147868,1470880,2009,BASSENORMANDIE
Bourgogne,376740,375728,458649,254134,177189,1642440,2009,BOURGOGNE
Bretagne,773652,768031,861478,464496,307407,3175064,2009,BRETAGNE
Centre,609882,606762,698131,371274,252541,2538590,2009,CENTRE
Champagne-Ardenne,329339,335069,371380,184281,117884,1337953,2009,CHAMPAGNEARDENNE
Corse,62752,74505,87688,50353,30376,305674,2009,CORSE
Franche-Comté,289478,293468,317840,164746,102676,1168208,2009,FRANCHECOMTE
Haute-Normandie,473513,466665,503016,240352,149396,1832942,2009,HAUTENORMANDIE
Languedoc-Roussillon,610825,618377,706645,408854,266189,2610890,2009,LANGUEDOCROUSSILLON
Limousin,151914,164899,207128,122673,95171,741785,2009,LIMOUSIN
Lorraine,562034,605920,664895,318397,198866,2350112,2009,LORRAINE
Midi-Pyrénées,653561,706176,789386,418128,295456,2862707,2009,MIDIPYRENEES
Nord - Pas-de-Calais,1090905,1089635,1070953,482704,299000,4033197,2009,NORDPASDECALAIS
Pays de la Loire,903090,886448,948268,481445,319797,3539048,2009,PAYSDELALOIRE
Picardie,501239,490293,531038,242480,146107,1911157,2009,PICARDIE
Poitou-Charentes,396266,402743,487712,278357,195497,1760575,2009,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1140559,1165788,1327952,759360,495394,4889053,2009,PROVENCEALPESCOTEDAZUR
Rhône-Alpes,1573847,1617009,1655781,821372,506031,6174040,2009,RHONEALPES
Île-de-France,3042263,3503403,3130128,1306358,746088,11728240,2009,ILEDEFRANCE
Alsace,447694,483342,527395,243392,143864,1845687,2010,ALSACE
Aquitaine,728896,768672,895332,500042,339410,3232352,2010,AQUITAINE
Auvergne,295697,307312,378312,217297,148769,1347387,2010,AUVERGNE
Basse-Normandie,355950,340551,403675,222035,151283,1473494,2010,BASSENORMANDIE
Bourgogne,373828,373724,454739,260831,178993,1642115,2010,BOURGOGNE
Bretagne,777642,762660,863756,478800,316208,3199066,2010,BRETAGNE
Centre,613259,598568,697229,381820,257189,2548065,2010,CENTRE
Champagne-Ardenne,327038,330916,368259,189828,119882,1335923,2010,CHAMPAGNEARDENNE
Corse,64870,74478,88294,51244,30807,309693,2010,CORSE
Franche-Comté,290711,289804,317295,169068,104885,1171763,2010,FRANCHECOMTE
Haute-Normandie,471755,463838,501679,247604,152078,1836954,2010,HAUTENORMANDIE
Languedoc-Roussillon,614422,619888,709633,421307,271100,2636350,2010,LANGUEDOCROUSSILLON
Limousin,152799,162201,205375,125623,96773,742771,2010,LIMOUSIN
Lorraine,558344,601215,661241,327207,202913,2350920,2010,LORRAINE
Midi-Pyrénées,655955,705384,789655,429438,301324,2881756,2010,MIDIPYRENEES
Nord - Pas-de-Calais,1089451,1081795,1066016,497225,303670,4038157,2010,NORDPASDECALAIS
Pays de la Loire,910199,883393,951867,497499,328537,3571495,2010,PAYSDELALOIRE
Picardie,501336,486224,527970,250511,148803,1914844,2010,PICARDIE
Poitou-Charentes,397865,399574,487864,285689,199371,1770363,2010,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1136230,1160822,1324341,774758,503004,4899155,2010,PROVENCEALPESCOTEDAZUR
Rhône-Alpes,1586506,1617267,1664381,846052,516485,6230691,2010,RHONEALPES
Île-de-France,3056145,3502425,3125251,1341662,760751,11786234,2010,ILEDEFRANCE
Alsace,448112,479905,526481,250849,146978,1852325,2011,ALSACE
Aquitaine,732120,765143,896030,516065,344875,3254233,2011,AQUITAINE
Auvergne,294709,305778,375485,223830,150880,1350682,2011,AUVERGNE
Basse-Normandie,354514,336201,401766,228888,154315,1475684,2011,BASSENORMANDIE
Bourgogne,372023,369737,450664,269109,181201,1642734,2011,BOURGOGNE
Bretagne,780408,757104,866181,492894,321180,3217767,2011,BRETAGNE
Centre,614629,592449,695479,392862,261416,2556835,2011,CENTRE
Champagne-Ardenne,324898,328037,365168,196057,121893,1336053,2011,CHAMPAGNEARDENNE
Corse,65399,75182,88943,53312,31650,314486,2011,CORSE
Franche-Comté,290000,286318,316818,173479,106825,1173440,2011,FRANCHECOMTE
Haute-Normandie,469779,459077,499888,255855,154794,1839393,2011,HAUTENORMANDIE
Languedoc-Roussillon,622980,619529,715033,435841,276663,2670046,2011,LANGUEDOCROUSSILLON
Limousin,152694,159995,203959,127575,96849,741072,2011,LIMOUSIN
Lorraine,555561,594060,658097,336827,206112,2350657,2011,LORRAINE
Midi-Pyrénées,661129,703117,792502,441317,305355,2903420,2011,MIDIPYRENEES
Nord - Pas-de-Calais,1085537,1074019,1062213,513245,307001,4042015,2011,NORDPASDECALAIS
Pays de la Loire,918142,879018,954546,513503,335904,3601113,2011,PAYSDELALOIRE
Picardie,499506,481778,526267,259503,151101,1918155,2011,PICARDIE
Poitou-Charentes,398192,395154,487005,294917,202505,1777773,2011,POITOUCHARENTES
Provence-Alpes-Côte d'Azur,1135570,1156231,1323397,791794,509077,4916069,2011,PROVENCEALPESCOTEDAZUR
Rhône-Alpes,1593489,1620992,1670893,870502,527665,6283541,2011,RHONEALPES
Île-de-France,3071017,3493039,3131223,1383699,773873,11852851,2011,ILEDEFRANCE
