Id,week,region_name,TauxGrippe,pop_0_19,pop_20_39,pop_40_59,pop_60_74,pop_75_plus,pop_total,requete_grippe,requete_grippe_aviaire_vaccin,requete_grippe_aviaire_vaccin_porcine_porc_H1N1_AH1N1_A_mexicaine_Mexique_pandemie
5652,201147,PROVENCE-ALPES-COTE-D-AZUR,9,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5653,201147,ILE-DE-FRANCE,23,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5654,201147,RHONE-ALPES,42,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5655,201146,ALSACE,9,448112,479905,526481,250849,146978,1852325,2,2,2
5656,201146,AQUITAINE,62,732120,765143,896030,516065,344875,3254233,3,2,2
5657,201146,AUVERGNE,14,294709,305778,375485,223830,150880,1350682,2,2,1
5658,201146,BASSE-NORMANDIE,7,354514,336201,401766,228888,154315,1475684,4,3,2
5659,201146,BOURGOGNE,0,372023,369737,450664,269109,181201,1642734,3,2,2
5660,201146,BRETAGNE,103,780408,757104,866181,492894,321180,3217767,2,2,2
5661,201146,CENTRE,75,614629,592449,695479,392862,261416,2556835,3,2,2
5662,201146,CHAMPAGNE-ARDENNE,60,324898,328037,365168,196057,121893,1336053,3,2,2
5663,201146,CORSE,9,65399,75182,88943,53312,31650,314486,3,0,0
5664,201146,FRANCHE-COMTE,56,290000,286318,316818,173479,106825,1173440,3,2,2
5665,201146,HAUTE-NORMANDIE,12,469779,459077,499888,255855,154794,1839393,4,3,2
5666,201146,LANGUEDOC-ROUSSILLON,122,622980,619529,715033,435841,276663,2670046,2,2,2
5667,201146,LIMOUSIN,5,152694,159995,203959,127575,96849,741072,3,2,2
5668,201146,LORRAINE,10,555561,594060,658097,336827,206112,2350657,3,2,2
5669,201146,MIDI-PYRENEES,5,661129,703117,792502,441317,305355,2903420,2,2,2
5670,201146,NORD-PAS-DE-CALAIS,51,1085537,1074019,1062213,513245,307001,4042015,3,2,2
5671,201146,PAYS-DE-LA-LOIRE,19,918142,879018,954546,513503,335904,3601113,2,2,2
5672,201146,PICARDIE,17,499506,481778,526267,259503,151101,1918155,4,3,2
5673,201146,POITOU-CHARENTES,11,398192,395154,487005,294917,202505,1777773,2,1,1
5674,201146,PROVENCE-ALPES-COTE-D-AZUR,6,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5675,201146,ILE-DE-FRANCE,45,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5676,201146,RHONE-ALPES,57,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5677,201145,ALSACE,28,448112,479905,526481,250849,146978,1852325,2,2,2
5678,201145,AQUITAINE,16,732120,765143,896030,516065,344875,3254233,3,2,2
5679,201145,AUVERGNE,49,294709,305778,375485,223830,150880,1350682,2,2,1
5680,201145,BASSE-NORMANDIE,9,354514,336201,401766,228888,154315,1475684,4,3,2
5681,201145,BOURGOGNE,0,372023,369737,450664,269109,181201,1642734,3,2,2
5682,201145,BRETAGNE,119,780408,757104,866181,492894,321180,3217767,2,2,2
5683,201145,CENTRE,54,614629,592449,695479,392862,261416,2556835,3,2,2
5684,201145,CHAMPAGNE-ARDENNE,25,324898,328037,365168,196057,121893,1336053,3,2,2
5685,201145,CORSE,0,65399,75182,88943,53312,31650,314486,3,0,0
5686,201145,FRANCHE-COMTE,17,290000,286318,316818,173479,106825,1173440,3,2,2
5687,201145,HAUTE-NORMANDIE,0,469779,459077,499888,255855,154794,1839393,4,3,2
5688,201145,LANGUEDOC-ROUSSILLON,64,622980,619529,715033,435841,276663,2670046,2,2,2
5689,201145,LIMOUSIN,49,152694,159995,203959,127575,96849,741072,3,2,2
5690,201145,LORRAINE,4,555561,594060,658097,336827,206112,2350657,3,2,2
5691,201145,MIDI-PYRENEES,0,661129,703117,792502,441317,305355,2903420,2,2,2
5692,201145,NORD-PAS-DE-CALAIS,87,1085537,1074019,1062213,513245,307001,4042015,3,2,2
5693,201145,PAYS-DE-LA-LOIRE,0,918142,879018,954546,513503,335904,3601113,2,2,2
5694,201145,PICARDIE,19,499506,481778,526267,259503,151101,1918155,4,3,2
5695,201145,POITOU-CHARENTES,52,398192,395154,487005,294917,202505,1777773,2,1,1
5696,201145,PROVENCE-ALPES-COTE-D-AZUR,6,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5697,201145,ILE-DE-FRANCE,17,3071017,3493039,3131223,1383699,773873,11852851,4,3,3
5698,201145,RHONE-ALPES,39,1593489,1620992,1670893,870502,527665,6283541,3,2,2
5699,201144,ALSACE,0,448112,479905,526481,250849,146978,1852325,2,1,1
5700,201144,AQUITAINE,13,732120,765143,896030,516065,344875,3254233,2,1,1
5701,201144,AUVERGNE,93,294709,305778,375485,223830,150880,1350682,2,1,1
5702,201144,BASSE-NORMANDIE,0,354514,336201,401766,228888,154315,1475684,2,2,2
5703,201144,BOURGOGNE,22,372023,369737,450664,269109,181201,1642734,3,2,2
5704,201144,BRETAGNE,23,780408,757104,866181,492894,321180,3217767,2,1,1
5705,201144,CENTRE,18,614629,592449,695479,392862,261416,2556835,2,2,1
5706,201144,CHAMPAGNE-ARDENNE,23,324898,328037,365168,196057,121893,1336053,2,2,2
5707,201144,CORSE,0,65399,75182,88943,53312,31650,314486,7,0,0
5708,201144,FRANCHE-COMTE,8,290000,286318,316818,173479,106825,1173440,3,2,2
5709,201144,HAUTE-NORMANDIE,6,469779,459077,499888,255855,154794,1839393,2,2,1
5710,201144,LANGUEDOC-ROUSSILLON,41,622980,619529,715033,435841,276663,2670046,2,1,1
5711,201144,LIMOUSIN,40,152694,159995,203959,127575,96849,741072,2,2,2
5712,201144,LORRAINE,27,555561,594060,658097,336827,206112,2350657,2,2,1
5713,201144,MIDI-PYRENEES,0,661129,703117,792502,441317,305355,2903420,2,1,1
5714,201144,NORD-PAS-DE-CALAIS,46,1085537,1074019,1062213,513245,307001,4042015,2,2,1
5715,201144,PAYS-DE-LA-LOIRE,0,918142,879018,954546,513503,335904,3601113,2,1,1
5716,201144,PICARDIE,0,499506,481778,526267,259503,151101,1918155,3,2,1
5717,201144,POITOU-CHARENTES,26,398192,395154,487005,294917,202505,1777773,2,1,1
5718,201144,PROVENCE-ALPES-COTE-D-AZUR,6,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5719,201144,ILE-DE-FRANCE,30,3071017,3493039,3131223,1383699,773873,11852851,3,2,2
5720,201144,RHONE-ALPES,22,1593489,1620992,1670893,870502,527665,6283541,2,1,1
5721,201143,ALSACE,42,448112,479905,526481,250849,146978,1852325,2,1,1
5722,201143,AQUITAINE,16,732120,765143,896030,516065,344875,3254233,2,1,1
5723,201143,AUVERGNE,21,294709,305778,375485,223830,150880,1350682,2,1,1
5724,201143,BASSE-NORMANDIE,0,354514,336201,401766,228888,154315,1475684,2,2,2
5725,201143,BOURGOGNE,13,372023,369737,450664,269109,181201,1642734,3,2,2
5726,201143,BRETAGNE,84,780408,757104,866181,492894,321180,3217767,2,1,1
5727,201143,CENTRE,37,614629,592449,695479,392862,261416,2556835,2,2,1
5728,201143,CHAMPAGNE-ARDENNE,38,324898,328037,365168,196057,121893,1336053,2,2,2
5729,201143,CORSE,0,65399,75182,88943,53312,31650,314486,7,0,0
5730,201143,FRANCHE-COMTE,0,290000,286318,316818,173479,106825,1173440,3,2,2
5731,201143,HAUTE-NORMANDIE,2,469779,459077,499888,255855,154794,1839393,2,2,1
5732,201143,LANGUEDOC-ROUSSILLON,38,622980,619529,715033,435841,276663,2670046,2,1,1
5733,201143,LIMOUSIN,140,152694,159995,203959,127575,96849,741072,2,2,2
5734,201143,LORRAINE,4,555561,594060,658097,336827,206112,2350657,2,2,1
5735,201143,MIDI-PYRENEES,0,661129,703117,792502,441317,305355,2903420,2,1,1
5736,201143,NORD-PAS-DE-CALAIS,121,1085537,1074019,1062213,513245,307001,4042015,2,2,1
5737,201143,PAYS-DE-LA-LOIRE,0,918142,879018,954546,513503,335904,3601113,2,1,1
5738,201143,PICARDIE,0,499506,481778,526267,259503,151101,1918155,3,2,1
5739,201143,POITOU-CHARENTES,37,398192,395154,487005,294917,202505,1777773,2,1,1
5740,201143,PROVENCE-ALPES-COTE-D-AZUR,8,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5741,201143,ILE-DE-FRANCE,18,3071017,3493039,3131223,1383699,773873,11852851,3,2,2
5742,201143,RHONE-ALPES,22,1593489,1620992,1670893,870502,527665,6283541,2,1,1
5743,201142,ALSACE,8,448112,479905,526481,250849,146978,1852325,2,1,1
5744,201142,AQUITAINE,8,732120,765143,896030,516065,344875,3254233,2,1,1
5745,201142,AUVERGNE,1,294709,305778,375485,223830,150880,1350682,2,1,1
5746,201142,BASSE-NORMANDIE,0,354514,336201,401766,228888,154315,1475684,2,2,2
5747,201142,BOURGOGNE,26,372023,369737,450664,269109,181201,1642734,3,2,2
5748,201142,BRETAGNE,114,780408,757104,866181,492894,321180,3217767,2,1,1
5749,201142,CENTRE,1,614629,592449,695479,392862,261416,2556835,2,2,1
5750,201142,CHAMPAGNE-ARDENNE,0,324898,328037,365168,196057,121893,1336053,2,2,2
5751,201142,CORSE,7,65399,75182,88943,53312,31650,314486,7,0,0
5752,201142,FRANCHE-COMTE,0,290000,286318,316818,173479,106825,1173440,3,2,2
5753,201142,HAUTE-NORMANDIE,0,469779,459077,499888,255855,154794,1839393,2,2,1
5754,201142,LANGUEDOC-ROUSSILLON,47,622980,619529,715033,435841,276663,2670046,2,1,1
5755,201142,LIMOUSIN,175,152694,159995,203959,127575,96849,741072,2,2,2
5756,201142,LORRAINE,0,555561,594060,658097,336827,206112,2350657,2,2,1
5757,201142,MIDI-PYRENEES,0,661129,703117,792502,441317,305355,2903420,2,1,1
5758,201142,NORD-PAS-DE-CALAIS,100,1085537,1074019,1062213,513245,307001,4042015,2,2,1
5759,201142,PAYS-DE-LA-LOIRE,9,918142,879018,954546,513503,335904,3601113,2,1,1
5760,201142,PICARDIE,0,499506,481778,526267,259503,151101,1918155,3,2,1
5761,201142,POITOU-CHARENTES,11,398192,395154,487005,294917,202505,1777773,2,1,1
5762,201142,PROVENCE-ALPES-COTE-D-AZUR,15,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5763,201142,ILE-DE-FRANCE,17,3071017,3493039,3131223,1383699,773873,11852851,3,2,2
5764,201142,RHONE-ALPES,16,1593489,1620992,1670893,870502,527665,6283541,2,1,1
5765,201141,ALSACE,26,448112,479905,526481,250849,146978,1852325,2,1,1
5766,201141,AQUITAINE,4,732120,765143,896030,516065,344875,3254233,2,1,1
5767,201141,AUVERGNE,12,294709,305778,375485,223830,150880,1350682,2,1,1
5768,201141,BASSE-NORMANDIE,0,354514,336201,401766,228888,154315,1475684,2,2,2
5769,201141,BOURGOGNE,6,372023,369737,450664,269109,181201,1642734,3,2,2
5770,201141,BRETAGNE,19,780408,757104,866181,492894,321180,3217767,2,1,1
5771,201141,CENTRE,7,614629,592449,695479,392862,261416,2556835,2,2,1
5772,201141,CHAMPAGNE-ARDENNE,0,324898,328037,365168,196057,121893,1336053,2,2,2
5773,201141,CORSE,0,65399,75182,88943,53312,31650,314486,7,0,0
5774,201141,FRANCHE-COMTE,2,290000,286318,316818,173479,106825,1173440,3,2,2
5775,201141,HAUTE-NORMANDIE,0,469779,459077,499888,255855,154794,1839393,2,2,1
5776,201141,LANGUEDOC-ROUSSILLON,50,622980,619529,715033,435841,276663,2670046,2,1,1
5777,201141,LIMOUSIN,130,152694,159995,203959,127575,96849,741072,2,2,2
5778,201141,LORRAINE,3,555561,594060,658097,336827,206112,2350657,2,2,1
5779,201141,MIDI-PYRENEES,0,661129,703117,792502,441317,305355,2903420,2,1,1
5780,201141,NORD-PAS-DE-CALAIS,20,1085537,1074019,1062213,513245,307001,4042015,2,2,1
5781,201141,PAYS-DE-LA-LOIRE,9,918142,879018,954546,513503,335904,3601113,2,1,1
5782,201141,PICARDIE,0,499506,481778,526267,259503,151101,1918155,3,2,1
5783,201141,POITOU-CHARENTES,0,398192,395154,487005,294917,202505,1777773,2,1,1
5784,201141,PROVENCE-ALPES-COTE-D-AZUR,2,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5785,201141,ILE-DE-FRANCE,16,3071017,3493039,3131223,1383699,773873,11852851,3,2,2
5786,201141,RHONE-ALPES,21,1593489,1620992,1670893,870502,527665,6283541,2,1,1
5787,201140,ALSACE,18,448112,479905,526481,250849,146978,1852325,2,1,1
5788,201140,AQUITAINE,0,732120,765143,896030,516065,344875,3254233,2,1,1
5789,201140,AUVERGNE,0,294709,305778,375485,223830,150880,1350682,2,1,1
5790,201140,BASSE-NORMANDIE,0,354514,336201,401766,228888,154315,1475684,2,2,2
5791,201140,BOURGOGNE,19,372023,369737,450664,269109,181201,1642734,3,2,2
5792,201140,BRETAGNE,58,780408,757104,866181,492894,321180,3217767,2,1,1
5793,201140,CENTRE,24,614629,592449,695479,392862,261416,2556835,2,2,1
5794,201140,CHAMPAGNE-ARDENNE,0,324898,328037,365168,196057,121893,1336053,2,2,2
5795,201140,CORSE,1,65399,75182,88943,53312,31650,314486,7,0,0
5796,201140,FRANCHE-COMTE,12,290000,286318,316818,173479,106825,1173440,3,2,2
5797,201140,HAUTE-NORMANDIE,0,469779,459077,499888,255855,154794,1839393,2,2,1
5798,201140,LANGUEDOC-ROUSSILLON,21,622980,619529,715033,435841,276663,2670046,2,1,1
5799,201140,LIMOUSIN,122,152694,159995,203959,127575,96849,741072,2,2,2
5800,201140,LORRAINE,12,555561,594060,658097,336827,206112,2350657,2,2,1
5801,201140,MIDI-PYRENEES,0,661129,703117,792502,441317,305355,2903420,2,1,1
5802,201140,NORD-PAS-DE-CALAIS,106,1085537,1074019,1062213,513245,307001,4042015,2,2,1
5803,201140,PAYS-DE-LA-LOIRE,26,918142,879018,954546,513503,335904,3601113,2,1,1
5804,201140,PICARDIE,10,499506,481778,526267,259503,151101,1918155,3,2,1
5805,201140,POITOU-CHARENTES,0,398192,395154,487005,294917,202505,1777773,2,1,1
5806,201140,PROVENCE-ALPES-COTE-D-AZUR,0,1135570,1156231,1323397,791794,509077,4916069,3,2,2
5807,201140,ILE-DE-FRANCE,17,3071017,3493039,3131223,1383699,773873,11852851,3,2,2
5808,201140,RHONE-ALPES,18,1593489,1620992,1670893,870502,527665,6283541,2,1,1
5809,201139,ALSACE,17,448112,479905,526481,250849,146978,1852325,2,1,1
5810,201139,AQUITAINE,0,732120,765143,896030,516065,344875,3254233,1,1,1
5811,201139,AUVERGNE,0,294709,305778,375485,223830,150880,1350682,2,2,1
5812,201139,BASSE-NORMANDIE,0,354514,336201,401766,228888,154315,1475684,2,1,1
5813,201139,BOURGOGNE,33,372023,369737,450664,269109,181201,1642734,1,1,1
5814,201139,BRETAGNE,54,780408,757104,866181,492894,321180,3217767,1,1,1
5815,201139,CENTRE,15,614629,592449,695479,392862,261416,2556835,1,1,1
5816,201139,CHAMPAGNE-ARDENNE,0,324898,328037,365168,196057,121893,1336053,2,1,1
5817,201139,CORSE,16,65399,75182,88943,53312,31650,314486,5,0,0
5818,201139,FRANCHE-COMTE,3,290000,286318,316818,173479,106825,1173440,1,1,1
5819,201139,HAUTE-NORMANDIE,0,469779,459077,499888,255855,154794,1839393,1,1,1
5820,201139,LANGUEDOC-ROUSSILLON,0,622980,619529,715033,435841,276663,2670046,1,0,0
5821,201139,LIMOUSIN,178,152694,159995,203959,127575,96849,741072,3,2,2
5822,201139,LORRAINE,8,555561,594060,658097,336827,206112,2350657,2,1,1
5823,201139,MIDI-PYRENEES,6,661129,703117,792502,441317,305355,2903420,1,1,1
5824,201139,NORD-PAS-DE-CALAIS,84,1085537,1074019,1062213,513245,307001,4042015,2,1,1
5825,201139,PAYS-DE-LA-LOIRE,13,918142,879018,954546,513503,335904,3601113,2,1,1
5826,201139,PICARDIE,13,499506,481778,526267,259503,151101,1918155,2,1,1
5827,201139,POITOU-CHARENTES,0,398192,395154,487005,294917,202505,1777773,1,1,1
